t,T+R,N_0,N_1
522,1.00012,4.52771e-07,2.17717e-07
523,0.999691,4.32688e-07,2.06362e-07
524,0.999196,4.12095e-07,1.94829e-07
525,0.998757,3.9112e-07,1.83198e-07
526,0.998478,3.69889e-07,1.71549e-07
527,0.998414,3.48534e-07,1.59959e-07
528,0.998563,3.27183e-07,1.48504e-07
529,0.998875,3.05964e-07,1.37255e-07
530,0.999262,2.85001e-07,1.26282e-07
531,0.999627,2.64414e-07,1.15644e-07
532,0.999885,2.44318e-07,1.05398e-07
533,0.999982,2.24817e-07,9.55922e-08
534,0.999907,2.0601e-07,8.62699e-08
535,0.999689,1.87981e-07,7.74662e-08
536,0.999388,1.70809e-07,6.92094e-08
537,0.999081,1.54555e-07,6.15214e-08
538,0.998842,1.39271e-07,5.44172e-08
539,0.998723,1.24996e-07,4.79053e-08
540,0.998747,1.11756e-07,4.1988e-08
541,0.998899,9.95643e-08,3.6661e-08
542,0.999137,8.84229e-08,3.19143e-08
543,0.999397,7.8322e-08,2.77318e-08
544,0.999614,6.92412e-08,2.40919e-08
545,0.999737,6.11504e-08,2.09676e-08
546,0.999741,5.40104e-08,1.83272e-08
547,0.999632,4.7774e-08,1.61347e-08
548,0.999444,4.23873e-08,1.4351e-08
549,0.999228,3.77902e-08,1.2934e-08
550,0.99904,3.39182e-08,1.18403e-08
551,0.998926,3.07033e-08,1.10258e-08
552,0.998909,2.80752e-08,1.04469e-08
553,0.998985,2.59624e-08,1.00609e-08
554,0.99913,2.42939e-08,9.82772e-09
555,0.999301,2.29997e-08,9.70971e-09
556,0.999456,2.20128e-08,9.67271e-09
557,0.999556,2.12693e-08,9.6862e-09
558,0.999584,2.07101e-08,9.72353e-09
559,0.999536,2.02815e-08,9.762e-09
560,0.999432,1.99356e-08,9.78274e-09
561,0.9993,1.9631e-08,9.7706e-09
562,0.999173,1.93329e-08,9.7139e-09
563,0.999082,1.90132e-08,9.60428e-09
564,0.999046,1.86506e-08,9.43637e-09
565,0.999069,1.82297e-08,9.20765e-09
566,0.999143,1.77411e-08,8.91818e-09
567,0.999246,1.71807e-08,8.5704e-09
568,0.999352,1.65489e-08,8.16893e-09
569,0.999435,1.58499e-08,7.7203e-09
570,0.999477,1.5091e-08,7.23269e-09
571,0.999468,1.42821e-08,6.71558e-09
572,0.999415,1.34346e-08,6.17938e-09
573,0.999332,1.2561e-08,5.63502e-09
574,0.999243,1.16743e-08,5.09349e-09
575,0.99917,1.07875e-08,4.56537e-09
576,0.99913,9.91329e-09,4.06038e-09
577,0.999131,9.0633e-09,3.58698e-09
578,0.99917,8.24823e-09,3.15208e-09
579,0.999235,7.47741e-09,2.76074e-09
580,0.999307,6.75864e-09,2.4161e-09
581,0.999368,6.09802e-09,2.11933e-09
582,0.999404,5.49989e-09,1.86976e-09
583,0.999407,4.96672e-09,1.66508e-09
584,0.999381,4.49915e-09,1.50158e-09
585,0.999333,4.09601e-09,1.37458e-09
586,0.999277,3.75443e-09,1.27868e-09
587,0.999227,3.47003e-09,1.20822e-09
588,0.999194,3.23712e-09,1.15753e-09
589,0.999185,3.04899e-09,1.12128e-09
590,0.999201,2.89818e-09,1.09464e-09
591,0.999235,2.77688e-09,1.07349e-09
592,0.99928,2.67722e-09,1.05442e-09
593,0.999322,2.59163e-09,1.03484e-09
594,0.999353,2.51319e-09,1.01285e-09
595,0.999365,2.43584e-09,9.87242e-10
596,0.999356,2.35464e-09,9.57342e-10
597,0.99933,2.26589e-09,9.2295e-10
598,0.999294,2.16721e-09,8.84213e-10
599,0.999258,2.0575e-09,8.41544e-10
600,0.999231,1.93687e-09,7.95544e-10
601,0.999218,1.80648e-09,7.46947e-10
602,0.999224,1.66837e-09,6.96578e-10
603,0.999243,1.52518e-09,6.45326e-10
604,0.999272,1.37991e-09,5.94117e-10
605,0.999301,1.2357e-09,5.43897e-10
606,0.999324,1.09558e-09,4.95604e-10
607,0.999335,9.62254e-10,4.50136e-10
608,0.999333,8.37994e-10,4.08317e-10
609,0.999319,7.24507e-10,3.70856e-10
610,0.999298,6.22905e-10,3.383e-10
611,0.999275,5.33712e-10,3.11001e-10
612,0.999256,4.56915e-10,2.89081e-10
613,0.999245,3.92051e-10,2.72419e-10
614,0.999244,3.38316e-10,2.60647e-10
615,0.999253,2.94682e-10,2.53168e-10
616,0.999269,2.60005e-10,2.49195e-10
