t,T+R,N_0
794,1,8.5303e-15
795,1,7.71845e-15
796,1,6.86725e-15
797,1,6.03242e-15
798,1,5.25888e-15
799,1,4.58106e-15
800,1,4.02371e-15
801,1,3.60109e-15
802,1,3.31456e-15
803,1,3.15102e-15
804,1,3.08455e-15
805,1,3.08177e-15
806,1,3.10888e-15
807,1,3.13736e-15
808,1,3.146e-15
809,1,3.11952e-15
810,1,3.04618e-15
811,1,2.91689e-15
812,1,2.72726e-15
813,1,2.4811e-15
814,1,2.19291e-15
815,1,1.88671e-15
816,1,1.59118e-15
817,1,1.33278e-15
818,1,1.13004e-15
819,1,9.91131e-16
820,1,9.14856e-16
821,1,8.9346e-16
822,1,9.15108e-16
823,1,9.65006e-16
824,1,1.02571e-15
825,1,1.07815e-15
826,1,1.10436e-15
827,1,1.09156e-15
828,1,1.03574e-15
829,1,9.42797e-16
830,1,8.262e-16
831,1,7.02401e-16
832,1,5.85954e-16
833,1,4.86577e-16
834,1,4.08871e-16
835,1,3.53903e-16
836,1,3.20944e-16
837,1,3.08112e-16
838,1,3.11878e-16
839,1,3.26441e-16
840,1,3.44171e-16
841,1,3.57431e-16
842,1,3.60968e-16
843,1,3.53443e-16
844,1,3.37114e-16
845,1,3.15856e-16
846,1,2.92757e-16
847,1,2.68759e-16
848,1,2.43043e-16
849,1,2.14681e-16
850,1,1.84253e-16
851,1,1.54283e-16
852,1,1.28239e-16
853,1,1.08868e-16
854,1,9.70236e-17
855,1,9.17275e-17
856,1,9.1231e-17
857,1,9.4188e-17
858,1,1.00026e-16
859,1,1.08306e-16
860,1,1.17692e-16
861,1,1.25473e-16
862,1,1.2821e-16
863,1,1.2324e-16
864,1,1.10103e-16
865,1,9.09613e-17
866,1,6.97148e-17
867,1,5.03535e-17
868,1,3.55255e-17
869,1,2.60727e-17
870,1,2.15711e-17
871,1,2.12606e-17
872,1,2.45927e-17
873,1,3.10544e-17
874,1,3.95644e-17
875,1,4.81106e-17
876,1,5.41176e-17
877,1,5.54584e-17
878,1,5.14939e-17
879,1,4.34326e-17
880,1,3.37349e-17
881,1,2.49119e-17
882,1,1.84565e-17
883,1,1.4512e-17
884,1,1.23562e-17
885,1,1.12366e-17
886,1,1.09182e-17
887,1,1.16033e-17
888,1,1.33917e-17
889,1,1.58015e-17
890,1,1.77914e-17
891,1,1.83163e-17
892,1,1.70108e-17
893,1,1.44806e-17
894,1,1.19543e-17
895,1,1.05186e-17
896,1,1.0458e-17
897,1,1.11452e-17
898,1,1.15323e-17
899,1,1.08753e-17
900,1,9.18171e-18
901,1,7.10411e-18
902,1,5.40921e-18
903,1,4.44773e-18
904,1,4.01056e-18
905,1,3.63847e-18
906,1,3.1025e-18
907,1,2.65463e-18
908,1,2.84221e-18
909,1,4.02803e-18
910,1,5.99217e-18
911,1,7.93644e-18
912,1,8.91446e-18
913,1,8.39506e-18
914,1,6.56971e-18
915,1,4.20162e-18
916,1,2.14133e-18
917,1,8.57301e-19
918,1,2.92756e-19
919,1,1.00805e-19
920,1,3.15288e-20
921,1,1.53046e-19
922,1,7.42327e-19
923,1,1.95307e-18
924,1,3.54585e-18
925,1,4.91684e-18
926,1,5.42909e-18
927,1,4.81436e-18
928,1,3.35462e-18
929,1,1.71104e-18
930,1,5.22401e-19
931,1,5.49162e-20
932,1,1.34194e-19
933,1,3.75386e-19
934,1,5.12927e-19
935,1,5.76057e-19
936,1,7.93277e-19
937,1,1.32588e-18
938,1,2.0596e-18
939,1,2.62998e-18
940,1,2.66851e-18
941,1,2.08115e-18
942,1,1.14337e-18
943,1,3.34375e-19
944,1,2.86237e-20
945,1,2.67234e-19
946,1,7.67838e-19
947,1,1.15237e-18
948,1,1.21517e-18
949,1,1.03513e-18
950,1,8.63868e-19
951,1,8.93802e-19
952,1,1.09506e-18
953,1,1.24637e-18
954,1,1.12821e-18
955,1,7.1971e-19
956,1,2.40479e-19
957,1,1.47106e-21
958,1,1.78123e-19
