t,T+R,N_0
1003,1,5.21789e-19
1004,1,5.21859e-19
1005,1,5.21948e-19
1006,1,5.22016e-19
1007,1,5.22034e-19
1008,1,5.22003e-19
1009,1,5.2194e-19
1010,1,5.21884e-19
1011,1,5.21842e-19
1012,1,5.21817e-19
1013,1,5.218e-19
1014,1,5.21792e-19
1015,1,5.21813e-19
1016,1,5.21862e-19
1017,1,5.21934e-19
1018,1,5.22002e-19
1019,1,5.22027e-19
1020,1,5.22015e-19
1021,1,5.21973e-19
1022,1,5.21928e-19
1023,1,5.21895e-19
1024,1,5.21884e-19
1025,1,5.21883e-19
1026,1,5.21878e-19
1027,1,5.21872e-19
1028,1,5.21874e-19
1029,1,5.21897e-19
1030,1,5.21928e-19
1031,1,5.21955e-19
1032,1,5.21965e-19
1033,1,5.21949e-19
1034,1,5.21923e-19
1035,1,5.21912e-19
1036,1,5.21913e-19
1037,1,5.21915e-19
1038,1,5.21901e-19
1039,1,5.21873e-19
1040,1,5.21856e-19
1041,1,5.21848e-19
1042,1,5.21866e-19
1043,1,5.21898e-19
1044,1,5.21927e-19
1045,1,5.21929e-19
1046,1,5.21919e-19
1047,1,5.21902e-19
1048,1,5.21895e-19
1049,1,5.21895e-19
1050,1,5.21887e-19
1051,1,5.21872e-19
1052,1,5.21847e-19
1053,1,5.21826e-19
1054,1,5.21825e-19
1055,1,5.21849e-19
1056,1,5.21887e-19
1057,1,5.21913e-19
1058,1,5.21919e-19
