t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
234,0.851628,90.6542,0.0295561,3.14619,0.0336211,3.5789,0.047949,5.10408,0.0372461,3.96478
235,0.835185,89.2685,0.0349274,3.7332,0.03695,3.94939,0.0500122,5.34554,0.0429257,4.5881
236,0.818046,87.7936,0.0406505,4.36266,0.0404171,4.33761,0.0520508,5.58615,0.0488355,5.24108
237,0.800324,86.2408,0.0466753,5.0296,0.0440161,4.74305,0.0540515,5.82445,0.0549327,5.9194
238,0.782136,84.6218,0.0529499,5.72882,0.04774,5.16515,0.0560012,6.05895,0.061173,6.6185
239,0.763599,82.9489,0.0594216,6.4549,0.0515817,5.60327,0.0578865,6.28814,0.0675117,7.33372
240,0.744832,81.2346,0.0660371,7.2023,0.0555334,6.05672,0.0596944,6.51053,0.0739035,8.06024
241,0.725955,79.4918,0.0727431,7.96535,0.0595869,6.52475,0.0614121,6.7246,0.0803031,8.79316
242,0.707087,77.7334,0.0794865,8.73832,0.0637338,7.00655,0.0630272,6.92888,0.0866652,9.5275
243,0.688347,75.9725,0.0862148,9.51547,0.067965,7.50125,0.0645278,7.1219,0.0929451,10.2583
244,0.669851,74.2221,0.0928768,10.2911,0.0722711,8.00792,0.0659025,7.30226,0.0990989,10.9805
245,0.65171,72.4951,0.0994228,11.0596,0.0766424,8.52556,0.0671406,7.46859,0.105084,11.6893
246,0.634036,70.8042,0.105805,11.8155,0.0810687,9.05312,0.068232,7.61962,0.110858,12.3798
247,0.616932,69.1618,0.111978,12.5534,0.0855393,9.58947,0.0691676,7.7541,0.116383,13.0472
