E,T,R0,R,E/V0,N_R0
0.298573,0.000726158,1.00596,1.00596,0.00298573,0.999278665
0.300144,0.000711834,1.0075,1.0075,0.00300144,0.9992939639
0.30172,0.000697812,1.00895,1.00895,0.0030172,0.999308856
0.3033,0.000684084,1.0103,1.0103,0.003033,0.9993233484
0.304883,0.000670644,1.01155,1.01155,0.00304883,0.9993374528
0.306471,0.000657487,1.01269,1.01269,0.00306471,0.9993511732
0.308063,0.000644604,1.01373,1.01373,0.00308063,0.9993645306
0.30966,0.000631992,1.01466,1.01466,0.0030966,0.9993775269
0.31126,0.000619642,1.01548,1.01548,0.0031126,0.9993901759
0.312864,0.00060755,1.01618,1.01618,0.00312864,0.9994024809
0.314473,0.00059571,1.01677,1.01677,0.00314473,0.9994144583
0.316086,0.000584116,1.01725,1.01725,0.00316086,0.9994261187
0.317702,0.000572762,1.01762,1.01762,0.00317702,0.9994374719
0.319323,0.000561644,1.01787,1.01787,0.00319323,0.9994485207
0.320948,0.000550757,1.01801,1.01801,0.00320948,0.9994592792
0.322577,0.000540094,1.01804,1.01804,0.00322577,0.9994697579
0.324211,0.000529652,1.01797,1.01797,0.00324211,0.9994799684
0.325848,0.000519425,1.01779,1.01779,0.00325848,0.9994899144
0.32749,0.000509409,1.01751,1.01751,0.0032749,0.9994996078
0.329135,0.000499599,1.01712,1.01712,0.00329135,0.9995090513
0.330785,0.00048999,1.01664,1.01664,0.00330785,0.9995182622
0.332439,0.000480579,1.01607,1.01607,0.00332439,0.9995272454
0.334097,0.00047136,1.01541,1.01541,0.00334097,0.9995360088
