t,T+R,N_0,N_1,N_2,N_3,N_4
243,1.15084,1.56451e-27,8.239e-28,4.35742e-28,3.42673e-28,2.7924e-28
244,1.15142,1.88197e-27,6.89274e-28,3.91014e-28,3.5807e-28,2.79563e-28
245,1.15197,2.39515e-27,5.27374e-28,4.09409e-28,2.57e-28,3.43775e-28
246,1.15247,2.35019e-27,5.94763e-28,3.88845e-28,2.1407e-28,4.02284e-28
247,1.15292,2.43291e-27,7.46481e-28,2.98488e-28,2.32641e-28,3.83976e-28
248,1.15332,2.88709e-27,5.86884e-28,2.63081e-28,2.01829e-28,3.64773e-28
249,1.15367,3.37424e-27,5.5153e-28,2.55975e-28,1.86269e-28,3.62437e-28
250,1.15396,3.58256e-27,6.61999e-28,2.11757e-28,1.06522e-28,4.36001e-28
251,1.15421,3.20717e-27,8.28666e-28,1.50588e-28,1.62984e-28,3.95501e-28
252,1.1544,3.40995e-27,7.67441e-28,1.1559e-28,1.17697e-28,3.50424e-28
253,1.15455,3.6685e-27,6.27919e-28,1.134e-28,9.18934e-29,3.53617e-28
254,1.15466,4.25991e-27,7.95944e-28,9.41443e-29,8.55858e-29,4.00276e-28
255,1.15473,3.70473e-27,9.70904e-28,6.66563e-29,8.93427e-29,3.6774e-28
256,1.15477,3.56278e-27,9.84429e-28,3.73866e-29,6.80452e-29,3.11418e-28
257,1.15478,4.04884e-27,9.01508e-28,3.32991e-29,5.38197e-29,2.85947e-28
258,1.15477,4.19756e-27,1.16483e-27,4.75881e-29,6.18372e-29,2.95242e-28
259,1.15475,3.70894e-27,1.17189e-27,4.39904e-29,4.54352e-29,3.08092e-28
260,1.15472,3.65423e-27,1.15384e-27,3.67985e-29,3.39253e-29,2.71963e-28
261,1.15469,4.01945e-27,1.08879e-27,4.64353e-29,5.5296e-29,2.52506e-28
262,1.15466,4.17938e-27,1.2591e-27,7.28074e-29,4.08259e-29,2.50454e-28
263,1.15465,3.77132e-27,1.19931e-27,7.23285e-29,2.27571e-29,2.41474e-28
264,1.15466,3.41638e-27,1.14439e-27,1.14211e-28,2.02546e-29,2.17938e-28
265,1.15469,3.60335e-27,1.18234e-27,1.62876e-28,3.75499e-29,2.18307e-28
266,1.15474,3.55426e-27,1.50934e-27,2.03057e-28,6.96516e-29,1.82561e-28
267,1.15483,3.19713e-27,1.35118e-27,2.04168e-28,1.2015e-29,1.67058e-28
268,1.15495,2.70035e-27,1.29223e-27,2.604e-28,1.91911e-29,1.81072e-28
269,1.1551,2.71393e-27,1.43801e-27,3.05944e-28,5.20283e-29,1.59953e-28
270,1.15528,2.36971e-27,1.65066e-27,3.60552e-28,7.63532e-29,1.60269e-28
271,1.15549,2.15166e-27,1.57223e-27,4.17267e-28,3.85727e-29,1.9595e-28
272,1.15573,1.55837e-27,1.55499e-27,4.47127e-28,3.62767e-29,2.0849e-28
273,1.15598,1.74053e-27,1.64034e-27,4.83788e-28,4.42534e-29,2.03194e-28
274,1.15626,1.42642e-27,1.94035e-27,5.40159e-28,7.3726e-29,2.46124e-28
275,1.15654,1.03633e-27,1.80942e-27,6.24449e-28,4.3906e-29,2.46018e-28
276,1.15682,9.81033e-28,1.78573e-27,6.51613e-28,2.82437e-29,2.9371e-28
277,1.15709,8.1202e-28,2.06663e-27,6.99201e-28,4.81957e-29,3.29164e-28
278,1.15735,7.56912e-28,2.05322e-27,8.08436e-28,4.04769e-29,3.66851e-28
279,1.15757,4.88423e-28,1.98231e-27,7.64772e-28,8.44052e-29,4.45811e-28
280,1.15774,2.93406e-28,1.93273e-27,9.09192e-28,1.26423e-29,4.84361e-28
281,1.15786,3.77786e-28,1.88632e-27,8.26349e-28,7.66716e-29,5.37269e-28
282,1.15792,3.29011e-28,1.89772e-27,8.59722e-28,1.17613e-28,6.27e-28
283,1.15789,1.80876e-28,1.88568e-27,9.03742e-28,1.38608e-28,6.49997e-28
284,1.15777,1.26009e-28,1.69847e-27,8.35791e-28,8.58405e-29,7.60936e-28
285,1.15755,1.06074e-28,1.54368e-27,8.63018e-28,1.04432e-28,7.3363e-28
286,1.15721,1.19272e-28,1.81548e-27,7.89833e-28,2.12175e-28,8.98383e-28
287,1.15675,2.91606e-29,1.68597e-27,7.70008e-28,2.85058e-28,9.18282e-28
288,1.15616,1.54253e-29,1.25524e-27,7.4562e-28,1.96331e-28,9.41541e-28
289,1.15543,3.04349e-29,1.32204e-27,6.59233e-28,3.20035e-28,1.01145e-27
290,1.15455,1.47393e-29,1.29671e-27,6.0989e-28,3.43029e-28,1.05119e-27
291,1.15352,2.6206e-30,1.16295e-27,5.36604e-28,3.40635e-28,1.12159e-27
292,1.15235,1.03739e-29,9.12756e-28,5.44696e-28,4.35876e-28,1.13245e-27
293,1.15102,1.36344e-29,8.53958e-28,4.08559e-28,4.72866e-28,1.16074e-27
